airline,fleet_size,diversity,modernity_index,version_v1,qa_notes
AVELO AIRLINES,19,0.315789474,0,v1,
AVIA TRAFFIC,6,0.833333333,0,v1,
AVIACON ZITOTRANS,5,0.2,0,v1,
AVIANCA CARGO,8,0.25,0,v1,
AVIASERVICE,5,0.8,0,v1,
AVIASTAR-TU,8,0.375,0,v1,
AVIATION ADVENTURES,54,0.481481481,0,v1,
AVIATION ADVISOR,16,0.625,0,v1,
AVIATION DAFENSE SERVICE,5,0,0,v1,
AVIATION HORIZONS,5,1,0,v1,
AVIATOR COLLEGE,54,0.185185185,0,v1,
AVIATOR ZONE ACADEMY,16,0.375,0,v1,
AVINCIS,103,0.174757282,0,v1,
AVION EXPRESS,10,0.3,0,v1,
AVIONORD,7,0.428571429,0,v1,
AVIOR AIRLINES,6,0.833333333,0,v1,
AWA,15,0.666666667,0,v1,
AXIO,6,0.5,0,v1,
AXIS AVIATION,7,0.857142857,0,v1,
AZIMUTH,20,0.1,0,v1,
AZMAN AIR,5,0.8,0,v1,
AZTEC AIRWAYS,13,0.384615385,0,v1,
AZUR AIR,20,0.45,0,v1,
BAA TRAINING,7,0.714285714,0,v1,
BABCOCK,51,0.117647059,0,v1,
BADR AIRLINES,8,0.75,0,v1,
BAHAMASAIR,10,0.6,0,v1,
BAKER AVIATION,21,0.19047619,0,v1,
BANGKOK AIRWAYS,26,0.153846154,0,v1,
BANKAIR,5,0.4,0,v1,
BARTOLINI AIR,31,0.35483871,0,v1,
BBN AIRLINES INDONESIA,5,1,0,v1,
BEIJING AIRLINES,7,0.714285714,0,v1,
BEL AIR AVIATION,6,0.333333333,0,v1,
BELGIUM - AIR FORCE,30,0.366666667,0,v1,
BELL HELICOPTER,91,0.032967033,0,v1,
BELLAIR,10,0.5,0,v1,
BEMIDJI AVIATION,43,0.302325581,0,v1,
BERING AIR,40,0.275,0,v1,
BERNIQ AIRWAYS,7,0.285714286,0,v1,
BERRY AVIATION,20,0.3,0,v1,
BESTFLY ARUBA,12,0.833333333,0,v1,
BIG BEND COMMUNITY COLLEGE AVIATION,35,0.314285714,0,v1,
BIGHORN AIRWAYS,24,0.583333333,0,v1,
BIOFLIGHT,12,0.166666667,0,v1,
BLESSINGS AVIATION CHARTER,8,0.5,0,v1,
BLUE DART AVIATION,5,0.8,0,v1,
BLUE ISLANDS,5,0.4,0,v1,
BLUEBIRD AVIATION,7,0.428571429,0,v1,
BOLIVIANA DE AVIACION,26,0.615384615,0,v1,
BOUTIQUE AIR,14,0.142857143,0,v1,
BRA,17,0.235294118,0,v1,
BRAZIL - AIR FORCE,247,0.165991903,0,v1,
BRAZIL - ARMY,5,0.6,0,v1,
BRAZIL - NAVY,6,0.833333333,0,v1,
BRIDGER AEROSPACE,17,0.294117647,0,v1,
BRISTOW HELICOPTERS,113,0.088495575,0,v1,
BRISTOW NIGERIA,6,0.333333333,0,v1,
BRITISH INTERNATIONAL HELICOPTERS,5,0.4,0,v1,
BUDDHA AIR,19,0.105263158,0,v1,
BUFFALO AIRWAYS,57,0.385964912,0,v1,
BUL AIR,8,0.625,0,v1,
BULGARIA - AIR FORCE,21,0.476190476,0,v1,
BURAQ AIR,5,0.4,0,v1,
BUSINESS AVIATION ASIA,7,0.857142857,0,v1,
CAA,10,0.6,0,v1,
CAE,124,0.10483871,0,v1,
CAICOS EXPRESS AIRWAYS,8,0.5,0,v1,
CALM AIR,6,0.5,0,v1,
CALSTAR,14,0.357142857,0,v1,
CAMAIR-CO,5,0.8,0,v1,
CAMBODIA AIRWAYS,6,0.5,0,v1,
CANADA - COAST GUARD,26,0.115384615,0,v1,
CANADA - DEPARTMENT OF TRANSPORT,37,0.216216216,0,v1,
CANADA - ONTARIO MINISTRY OF NATURAL RESOURCES,25,0.2,0,v1,
CANADA - ROYAL CANADIAN AIR FORCE,155,0.167741935,0,v1,
CANADIAN NORTH,33,0.484848485,0,v1,
CANARYFLY,6,0.166666667,0,v1,
CANAVIA,12,0.5,0,v1,
CANLINK AVIATION,59,0.101694915,0,v1,
CANWEST AIR,19,0.315789474,0,v1,
CAPE AIR,103,0.038834951,0,v1,
CAREFLIGHT,16,0.5,0,v1,
CARGO AIR,11,1,0,v1,
CARGOJET AIRWAYS,40,0.525,0,v1,
CARGOLUX,30,0.2,0,v1,
CARSON AIR,22,0.272727273,0,v1,
CASPIAN AIRLINES,11,0.272727273,0,v1,
CASTLE AVIATION,20,0.4,0,v1,
CATREUS,5,0.8,0,v1,
CAVOK AIR,5,0.6,0,v1,
CB SKYSHARE,10,0.5,0,v1,
CEMAIR,21,0.476190476,0,v1,
CENTRAL AIR SOUTHWEST,27,0.074074074,0,v1,
CENTRAL AIRLINES,9,0.777777778,0,v1,
CENTRAL MOUNTAIN AIR,27,0.185185185,0,v1,
CENTRELINE,10,0.7,0,v1,
CHABAHAR AIRLINES,6,0.333333333,0,v1,
CHALAIR AVIATION,11,0.363636364,0,v1,
CHALLENGE AIRLINES BE,7,1,0,v1,
CHARTER AIRLINES,9,0.111111111,0,v1,
CHARTRIGHT AIR,21,0.714285714,0,v1,
CHC HELICOPTER,91,0.120879121,0,v1,
CHEVRON USA,11,0.272727273,0,v1,
CHINA - AIR FORCE,16,0.4375,0,v1,
CHINA - CIVIL AVIATION ADMINISTRATION,20,0.2,0,v1,
CHINA CARGO AIRLINES,17,0.117647059,0,v1,
CHINA POSTAL AIRLINES,39,0.384615385,0,v1,
CHINA SOUTHERN AIRLINES GENERAL AVIATION,6,0.5,0,v1,
CHINA SOUTHERN CARGO,11,0.181818182,0,v1,
CHINA UNITED AIRLINES,59,0.084745763,0,v1,
CHODANG UNIVERSITY,13,0.076923077,0,v1,
CHRONO AVIATION,10,0.4,0,v1,
CITIC OFFSHORE HELICOPTER,31,0.193548387,0,v1,
CITYJET,8,0.25,0,v1,
CIVIL AIR PATROL,659,0.04400607,0,v1,
CIVIL AVIATION FLIGHT UNIVERSITY OF CHINA,78,0.08974359,0,v1,
CLIC,20,0.15,0,v1,
CMA CGM AIR CARGO,5,0.4,0,v1,
COASTAL AVIATION,9,0.333333333,0,v1,
COLOMBIA - AIR FORCE,122,0.245901639,0,v1,
COMPASS AIR CARGO,7,0.857142857,0,v1,
CONAIR,75,0.253333333,0,v1,
CONOCOPHILLIPS,6,0.666666667,0,v1,
CONTOUR AVIATION,44,0.272727273,0,v1,
CONVIASA,24,0.333333333,0,v1,
COPENHAGEN AIRTAXI,6,1,0,v1,
COSTA RICA - MINISTRY OF PUBLIC SECURITY,10,0.6,0,v1,
COSTA RICA GREEN AIRWAYS,5,0.6,0,v1,
COULSON AVIATION,15,0.333333333,0,v1,
