airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,pct_a220,pct_787,pct_a350,pct_a330neo,pct_neo,pct_max,pct_newgen_narrow,pct_newgen_wide
ARC EN CIEL,4,3,0.75,0,0,0,0,0,0,0,0,0,0
ARCUS AIR,9,4,0.444444444,0,0,0,0,0,0,0,0,0,0
ARGENTINA - AIR FORCE,61,21,0.344262295,0,0,0,0,0,0,0,0,0,0
ARIANA AFGHAN AIRLINES,6,4,0.666666667,0,0,0,0,0,0,0,0,0,0
ARIK AIR,9,4,0.444444444,0,0,0,0,0,0,0,0,0,0
ARIRANG AVIATION,2,2,1,0,0,0,0,0,0,0,0,0,0
ARKHANGELSK AIRLINES,3,1,0.333333333,0,0,0,0,0,0,0,0,0,0
ARM AVIACION,7,5,0.714285714,0,0,0,0,0,0,0,0,0,0
ARMENIA AIRWAYS,3,3,1,0,0,0,0,0,0,0,0,0,0
ARUBA AIRLINES,1,1,1,0,0,0,0,0,0,0,0,0,0
ASCEND AIRWAYS,4,2,0.5,0.1,0.75,0,0,0,0,0,0.25,0.25,0
ASG BUSINESS AVIATION,7,5,0.714285714,0,0,0,0,0,0,0,0,0,0
ASIA CARGO AIRLINES,2,2,1,0,0,0,0,0,0,0,0,0,0
ASIA PACIFIC AIRLINES,5,4,0.8,0,0,0,0,0,0,0,0,0,0
ASIA UNION AIRLINES,2,2,1,0,0,0,0,0,0,0,0,0,0
ASIAN EXPRESS AIRLINES,1,1,1,0,0,0,0,0,0,0,0,0,0
ASIAN EXPRESS GENERAL AVIATION WUXI,4,2,0.5,0,0,0,0,0,0,0,0,0,0
ASIANA AIRLINES,82,14,0.170731707,0.004878049,0.341463415,0,0,0.012195122,0,0,0,0,0.012195122
ASKY AIRLINES,17,11,0.647058824,0.023529412,0.117647059,0,0,0,0,0,0.058823529,0.058823529,0
ASL AIRLINES,78,38,0.487179487,0,0,0,0,0,0,0,0,0,0
ASMAN AIRLINES,1,1,1,0,0,0,0,0,0,0,0,0,0
ASPEN HELICOPTERS,15,11,0.733333333,0,0,0,0,0,0,0,0,0,0
ASTA LINHAS AEREAS,3,1,0.333333333,0,0,0,0,0,0,0,0,0,0
ASTONFLY,17,2,0.117647059,0,0,0,0,0,0,0,0,0,0
ASTONJET,8,2,0.25,0,0,0,0,0,0,0,0,0,0
ASTRAL AVIATION,6,6,1,0,0,0,0,0,0,0,0,0,0
ATA AIRLINES,16,7,0.4375,0,0,0,0,0,0,0,0,0,0
ATI JET,21,3,0.142857143,0,0,0,0,0,0,0,0,0,0
ATLANTA AIR CHARTER,3,2,0.666666667,0,0,0,0,0,0,0,0,0,0
ATLANTIC AIRWAYS,6,3,0.5,0.066666667,0.333333333,0,0,0,0,0.166666667,0,0.166666667,0
ATLANTIC FLIGHT TRAINING ACADEMY,19,6,0.315789474,0,0,0,0,0,0,0,0,0,0
ATLAS AIR,69,32,0.463768116,0,0,0,0,0,0,0,0,0,0
ATLAS AIR SERVICE,10,7,0.7,0,0,0,0,0,0,0,0,0,0
ATM INFORMATION SERVICE JAPAN,4,2,0.5,0,0,0,0,0,0,0,0,0,0
ATMOSPHERICA AVIATION,6,4,0.666666667,0,0,0,0,0,0,0,0,0,0
ATP FLIGHT SCHOOL,4,2,0.5,0,0,0,0,0,0,0,0,0,0
ATR,71,3,0.042253521,0,0,0,0,0,0,0,0,0,0
ATRAN,3,2,0.666666667,0,0,0,0,0,0,0,0,0,0
ATSA AIRLINES,9,6,0.666666667,0,0,0,0,0,0,0,0,0,0
