airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,cluster
AVINCIS,103,18.0,0.174757281553398,0.0,0.0,0
AVION EXPRESS,10,3.0,0.3,0.0,0.0,0
AVIONCO,1,1.0,1.0,0.0,0.0,0
AVIONORD,7,3.0,0.4285714285714285,0.0,0.0,0
AVIOR AIRLINES,6,5.0,0.8333333333333334,0.0,0.0,0
AVIOSTART,3,1.0,0.3333333333333333,0.0,0.0,0
AWA,15,10.0,0.6666666666666666,0.0,0.0,0
AWESOME CARGO,3,2.0,0.6666666666666666,0.0,0.0,0
AXIO,6,3.0,0.5,0.0,0.0,0
AXIS AVIATION,7,6.0,0.8571428571428571,0.0,0.0,0
AZERBAIJAN AIRLINES,33,13.0,0.3939393939393939,0.024242424,0.1515151515151515,0
AZIMUTH,20,2.0,0.1,0.0,0.0,0
AZMAN AIR,5,4.0,0.8,0.0,0.0,0
AZORES AIRLINES,10,4.0,0.4,0.08,0.7,1
AZTEC AIRWAYS,13,5.0,0.3846153846153846,0.0,0.0,0
AZUL,209,15.0,0.0717703349282296,0.003827751,0.4736842105263158,1
AZUL CONECTA,1,1.0,1.0,0.0,0.0,0
AZUR AIR,20,9.0,0.45,0.0,0.0,0
AZURE AVIATION,2,2.0,1.0,0.0,0.0,0
BAA TRAINING,7,5.0,0.7142857142857143,0.0,0.0,0
BABCOCK,51,6.0,0.1176470588235294,0.0,0.0,0
BADEN AIRCRAFT OPERATIONS,1,1.0,1.0,0.0,0.0,0
BADR AIRLINES,8,6.0,0.75,0.0,0.0,0
BAE SYSTEMS,3,3.0,1.0,0.0,0.0,0
BAHAMASAIR,10,6.0,0.6,0.0,0.0,0
BAHRAIN ROYAL FLIGHT,4,3.0,0.75,0.0,0.0,0
BAIRLINE,3,3.0,1.0,0.0,0.0,0
BAKER AVIATION,21,4.0,0.1904761904761904,0.0,0.0,0
BAMBOO AIRWAYS,6,3.0,0.5,0.066666667,0.1666666666666667,1
BANGKOK AIRWAYS,26,4.0,0.1538461538461538,0.0,0.0,0
BANKAIR,5,2.0,0.4,0.0,0.0,0
BAR XH AIR,2,1.0,0.5,0.0,0.0,0
BARTOLINI AIR,31,11.0,0.3548387096774194,0.0,0.0,0
BASSAKA AIR,2,1.0,0.5,0.0,0.0,0
BATIK AIR,104,9.0,0.0865384615384615,0.007692308,0.1442307692307692,0
BBN AIRLINES,3,2.0,0.6666666666666666,0.0,0.0,0
BBN AIRLINES INDONESIA,5,5.0,1.0,0.0,0.0,0
BEIJING AIRLINES,7,5.0,0.7142857142857143,0.0,0.0,0
BEL AIR AVIATION,6,2.0,0.3333333333333333,0.0,0.0,0
BELAVIA,14,9.0,0.6428571428571429,0.028571429,0.0714285714285714,0
BELGIUM - AIR FORCE,30,11.0,0.3666666666666666,0.0,0.0,0
BELGIUM - NAVY,3,1.0,0.3333333333333333,0.0,0.0,0
